time,latitude,longitude,surface_temperature,spatial_ref
2016-12-31,16.625249999999998,-14.87475,48206.0,4326
2016-12-31,16.62495,-14.87505,48233.25,4326
2016-12-31,16.62495,-14.87475,48304.5,4326
2017-01-31,16.625249999999998,-14.87505,46107.75,4326
2017-01-31,16.625249999999998,-14.87475,46061.25,4326
2017-01-31,16.62495,-14.87505,46112.25,4326
2017-01-31,16.62495,-14.87475,46179.0,4326
2017-02-28,16.625249999999998,-14.87505,46218.5,4326
2017-02-28,16.625249999999998,-14.87475,46112.75,4326
2017-02-28,16.62495,-14.87505,46029.75,4326
2017-02-28,16.62495,-14.87475,46058.25,4326
2017-03-31,16.625249999999998,-14.87505,48362.75,4326
2017-03-31,16.625249999999998,-14.87475,48313.5,4326
2017-03-31,16.62495,-14.87505,48293.25,4326
2017-03-31,16.62495,-14.87475,48355.0,4326
2017-04-30,16.625249999999998,-14.87505,35998.5,4326
2017-04-30,16.625249999999998,-14.87475,36010.25,4326
2017-04-30,16.62495,-14.87505,36104.25,4326
2017-04-30,16.62495,-14.87475,36166.5,4326
2017-05-31,16.625249999999998,-14.87505,45457.75,4326
2017-05-31,16.625249999999998,-14.87475,45486.0,4326
2017-05-31,16.62495,-14.87505,45733.75,4326
2017-05-31,16.62495,-14.87475,45858.25,4326
2017-06-30,16.625249999999998,-14.87505,47197.5,4326
2017-06-30,16.625249999999998,-14.87475,47389.5,4326
2017-06-30,16.62495,-14.87505,47635.0,4326
2017-06-30,16.62495,-14.87475,47925.5,4326
2017-07-31,16.625249999999998,-14.87505,32574.75,4326
2017-07-31,16.625249999999998,-14.87475,32591.0,4326
2017-07-31,16.62495,-14.87505,32720.5,4326
2017-07-31,16.62495,-14.87475,32808.0,4326
2017-08-31,16.625249999999998,-14.87505,45195.75,4326
2017-08-31,16.625249999999998,-14.87475,45290.75,4326
2017-08-31,16.62495,-14.87505,45298.0,4326
2017-08-31,16.62495,-14.87475,45483.0,4326
2017-09-30,16.625249999999998,-14.87505,36673.75,4326
